group.edit.submit;"Gruppe aktualisieren"
group.show.name;Gruppenname
group.new.submit;"Gruppe erstellen"
group.flash.updated;"Die Gruppe wurde aktualisiert."
group.flash.created;"Die Gruppe wurde erstellt."
group.flash.deleted;"Die Gruppe wurde gelöscht."
security.login.username;Benutzername
security.login.password;Passwort
security.login.remember_me;"An mich erinnern"
security.login.submit;Anmelden
profile.show.username;Benutzername
profile.show.email;E-Mail
profile.edit.submit;"Benutzer aktualisieren"
profile.flash.updated;"Das Benutzerprofil wurde aktualisiert."
change_password.submit;"Passwort ändern"
change_password.flash.success;"Das Passwort wurde geändert."
registration.check_email;"Eine E-Mail wurde an %email% gesendet. Sie enthält einen Link, den Sie anklicken müssen, um Ihr Benutzerkonto zu bestätigen."
registration.confirmed;"Glückwunsch %username%, Ihr Benutzerkonto ist jetzt bestätigt."
registration.back;"Zurück zur ursprünglichen Seite."
registration.submit;Registrieren
registration.flash.user_created;"Der Benutzer wurde erfolgreich erstellt."
registration.email.subject;"Willkommen %username%!"
registration.email.message;"Hallo %username%!

Besuchen Sie bitte folgende Seite, um Ihr Benutzerkonto zu bestätigen: %confirmationUrl%

Mit besten Grüßen,
das Team.
"
resetting.check_email;"Eine E-Mail wurde verschickt. Sie beinhaltet einen Link zum Zurücksetzen des Passwortes.
Hinweis: Ein neues Passwort kann nur alle %tokenLifetime% Stunden beantragt werden.

Eventuell wurde diese E-Mail als Spam markiert, wenn sie nicht angekommen ist.
"
resetting.request.username;"Benutzername oder E-Mail-Adresse"
resetting.request.submit;"Passwort zurücksetzen"
resetting.reset.submit;"Passwort ändern"
resetting.flash.success;"Das Passwort wurde erfolgreich zurückgesetzt."
resetting.email.subject;"Passwort zurücksetzen"
resetting.email.message;"Hallo %username%!

Besuchen Sie bitte folgende Seite, um Ihr Passwort zurückzusetzen: %confirmationUrl%

Mit besten Grüßen,
das Team.
"
layout.logout;Abmelden
layout.login;Anmelden
layout.register;Registrieren
layout.logged_in_as;"Angemeldet als %username%"
form.group_name;Gruppenname
form.username;Benutzername
form.email;E-Mail-Adresse
form.current_password;"Derzeitiges Passwort"
form.password;Passwort
form.password_confirmation;"Passwort bestätigen"
form.new_password;"Neues Passwort"
form.new_password_confirmation;"Neues Passwort bestätigen"
